"algorithm";"binary";"decimal";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
dragonbox;8388608*2^-98;2646978*10^-29;6.37001070224468e-09;0.00271970734806888;73.0000680684645;7;1.81232745132391e-05;0.005461513
amaru;8388608*2^-97;5293956*10^-29;6.62665902372907e-09;1.35898749817696e-05;71.0000713697146;10;6.48815587145666e-06;0.005434444
dragonbox;8388608*2^-97;5293956*10^-29;6.34986698340876e-09;0.000431639579813083;73.0000680566726;7;6.18697024067314e-06;0.005441816
amaru;8388608*2^-96;10587912*10^-29;6.80694681667482e-09;0.00430555681841401;75.0000775288957;11;1e-05;0.004927781
dragonbox;8388608*2^-96;10587912*10^-29;6.34897256781267e-09;0.000430897653590274;73.0000664904669;7;6.19425173439049e-06;0.005447098
amaru;8388608*2^-95;21175824*10^-29;6.82828921192191e-09;3.82431144551921e-06;75.0000730125648;11;6.64270863087132e-06;0.004935988
dragonbox;8388608*2^-95;21175824*10^-29;6.01012346678006e-09;0.00115635486013856;73.000064367009;7;5.85154627110214e-06;0.005443681
amaru;8388608*2^-94;42351647*10^-29;6.69908006795887e-09;0.00545205772263607;75.000076098192;11;1.30154102457309e-05;0.00493239
dragonbox;8388608*2^-94;42351647*10^-29;6.00756465113447e-09;1.44525141459322e-05;73.0000628675609;7;5.86365821908973e-06;0.005444882
amaru;8388608*2^-93;84703295*10^-29;7.20122423138934e-09;0.00676218136281171;81.0000770783116;12;7.00711923314087e-06;0.004963147
dragonbox;8388608*2^-93;84703295*10^-29;6.09183689286693e-09;0.0151811161759618;73.0000633639945;7;5.83338680604572e-06;0.005502519
amaru;8388608*2^-92;16940659*10^-28;6.63564227534816e-09;0.000682131626034939;75.0000715191314;11;6.52839525516233e-06;0.004888598
dragonbox;8388608*2^-92;16940659*10^-28;5.75746275131378e-09;0.00393335937058303;73.000061512652;7;5.59205927582832e-06;0.005403244
amaru;8388608*2^-91;33881318*10^-28;6.48087076564706e-09;0.0177454375546931;79.000070808309;13;1.14851439662796e-05;0.00537868
dragonbox;8388608*2^-91;33881318*10^-28;5.57678228255415e-09;0.00777468594437172;73.000058329754;7;5.30270490977448e-06;0.005569705
amaru;8388608*2^-90;67762636*10^-28;6.78023199281268e-09;0.0136337536998856;79.0000713206642;13;1.15954128546747e-05;0.005563747
dragonbox;8388608*2^-90;67762636*10^-28;6.01399115107069e-09;0.00327071621023739;73.0000640108004;7;1.71197699102924e-05;0.005473797
amaru;8388608*2^-89;13552527*10^-27;6.66676982084798e-09;2.85090296166018e-05;75.0000717257208;11;1.16620795820311e-05;0.0054385
dragonbox;8388608*2^-89;13552527*10^-27;6.00688353786227e-09;0.00164098354899892;73.000064442049;7;5.85836809298402e-06;0.005436949
amaru;8388608*2^-88;27105054*10^-27;6.6600549395816e-09;0.00204994707560074;75.0000713104924;11;1.16279069767442e-05;0.005444392
dragonbox;8388608*2^-88;27105054*10^-27;6.0038298542051e-09;4.4991922442231e-06;73.0000640156431;7;5.81960391775736e-06;0.005449351
amaru;8388608*2^-87;5421011*10^-26;6.62345614450421e-09;0.000864021492584525;71.0000708982159;10;6.44529235846138e-06;0.00544355
dragonbox;8388608*2^-87;5421011*10^-26;6.34336805554237e-09;2.09783043908491e-06;73.0000663970544;7;6.03609585320215e-06;0.00544315
amaru;8388608*2^-86;10842022*10^-26;6.81371147322582e-09;1.07818401511562e-05;75.0000730697949;11;6.64270863087132e-06;0.00493654
dragonbox;8388608*2^-86;10842022*10^-26;6.3491195610002e-09;0.00308897746794232;73.0000664908354;7;6.16933593268021e-06;0.005443099
amaru;8388608*2^-85;21684043*10^-26;6.60350851661736e-09;0.00914503960732774;75.0000693982593;11;1.10856141984547e-05;0.005422662
dragonbox;8388608*2^-85;21684043*10^-26;5.87307100656238e-09;0.00511845140048461;73.000092261798;7.00001025131089;9.77784730913642e-06;0.005465132
amaru;8388608*2^-84;43368087*10^-26;6.8840825781172e-09;0.0206455100064282;82.000075787327;14;1.96680040909448e-05;0.00479872
dragonbox;8388608*2^-84;43368087*10^-26;5.6154041973096e-09;0.00428515954917935;73.0000610480281;7;5.54982074079007e-06;0.005405771
amaru;8388608*2^-83;86736174*10^-26;6.41703227982183e-09;0.0033246549259371;77.000068442011;11;6.22200099552016e-06;0.005455272
dragonbox;8388608*2^-83;86736174*10^-26;5.76794052602958e-09;0.0222411409261265;73.0000588392618;7;5.34902380315592e-06;0.005556793
amaru;8388608*2^-82;17347235*10^-25;6.78568815002467e-09;0.0110579057541473;75.0000774448367;11;1e-05;0.004928984
dragonbox;8388608*2^-82;17347235*10^-25;6.0276578516186e-09;0.00279863908858872;73.0000630987208;7;1.75203966617804e-05;0.005455673
amaru;8388608*2^-81;3469447*10^-24;6.63458690157957e-09;0.00159469138449258;71.000069466372;10;1.16220959287798e-05;0.005433843
dragonbox;8388608*2^-81;3469447*10^-24;6.34655641196726e-09;9.3031080982121e-06;73.0000663966536;7;6.16925981220773e-06;0.005446175
amaru;8388608*2^-80;6938894*10^-24;6.63719978968677e-09;0.00168582766949815;71.000069548064;10;6.47127723598807e-06;0.005445023
dragonbox;8388608*2^-80;6938894*10^-24;6.34525782496919e-09;1.40453456593402e-05;73.0000663966536;7;6.1692217526759e-06;0.005445154
amaru;8388608*2^-79;13877788*10^-24;6.81010007093997e-09;7.58894452802618e-06;75.000073013534;11;6.64266450558648e-06;0.004926449
dragonbox;8388608*2^-79;13877788*10^-24;6.01202658037967e-09;1.25702101379717e-05;73.0000644639529;7;5.86035935723579e-06;0.005440856
amaru;8388608*2^-78;27755576*10^-24;6.99769182189893e-09;5.52698274559759e-06;79.000080066188;13;1.38130132397732e-05;0.004933793
dragonbox;8388608*2^-78;27755576*10^-24;6.0184149724144e-09;0.00116225843610285;73.0000628902051;7;5.86355507344103e-06;0.005453279
amaru;8388608*2^-77;5551115*10^-23;6.56996141801941e-09;0.0059146262001802;71.0000689283521;10;6.42785059104086e-06;0.005414005
dragonbox;8388608*2^-77;5551115*10^-23;6.25181273586746e-09;0.00761603135217051;73.0000660458358;7;6.23717480929838e-06;0.005352189
amaru;8388608*2^-76;1110223*10^-22;6.3424469982564e-09;0.00548240200434138;71.0000667917494;10;6.34743309805515e-06;0.005403896
dragonbox;8388608*2^-76;1110223*10^-22;5.94689870400184e-09;0.00346054821925906;75.0000624035581;7;5.93116292311434e-06;0.005408977
amaru;8388608*2^-75;2220446*10^-22;6.04567447653804e-09;0.000480491321029439;71.000063434213;10;5.87568231360867e-06;0.005456064
dragonbox;8388608*2^-75;2220446*10^-22;6.12724671171951e-09;0.0128312511565575;73.0000628029529;7;6.16800409555472e-06;0.005535023
amaru;8388608*2^-74;4440892*10^-22;6.59895079979933e-09;0.00518200086472136;71.0000687560161;10;6.33842097256731e-06;0.00549164
dragonbox;8388608*2^-74;4440892*10^-22;6.35067686611675e-09;0.00332079193060376;73.0000664403668;7;2.12371714211384e-05;0.005444412
amaru;8388608*2^-73;8881784*10^-22;6.66291657694835e-09;0.00156416358719031;75.0000717449012;11;1e-05;0.00490507
dragonbox;8388608*2^-73;8881784*10^-22;6.3471504309927e-09;1.69389849568846e-05;73.0000665048382;7;6.23651353947089e-06;0.00543719
amaru;8388608*2^-72;17763568*10^-22;6.66350014950924e-09;0.00314184828314155;75.0000712559839;11;1.30593482079309e-05;0.004912432
dragonbox;8388608*2^-72;17763568*10^-22;6.00351356584108e-09;0.000873257203849537;73.0000628460101;7;1.04973651613445e-05;0.005441476
amaru;8388608*2^-71;35527137*10^-22;7.06437468908756e-09;0.00345613535132506;82.0000761514445;14;1.85230921215115e-05;0.00495372
dragonbox;8388608*2^-71;35527137*10^-22;6.00162625181881e-09;1.30964976739777e-05;73.0000628466385;7;5.81960391775736e-06;0.005447717
amaru;8388608*2^-70;71054274*10^-22;6.92946244023159e-09;6.95938868573791e-06;79.0000742420561;13;1.32989334255393e-05;0.004929196
dragonbox;8388608*2^-70;71054274*10^-22;5.97610806523806e-09;0.00486899444017496;73.0000638569604;7;5.80517821897132e-06;0.005439724
amaru;8388608*2^-69;14210855*10^-21;6.6685188259942e-09;0.00603098006765935;75.0000763762037;11;1e-05;0.004910811
dragonbox;8388608*2^-69;14210855*10^-21;5.96971229328719e-09;0.0264454653549406;73.0000624457148;7;5.8829412353e-06;0.005387025
amaru;8388608*2^-68;2842171*10^-20;6.22433276340356e-09;0.0119148548081732;71.0000655268958;10;6.12730080145094e-06;0.005387344
dragonbox;8388608*2^-68;2842171*10^-20;5.79858440819548e-09;1.52238233906202e-05;73.0000607301978;7;5.73223580125192e-06;0.005387025
amaru;8388608*2^-67;5684342*10^-20;6.11187090550016e-09;0.00563117905293223;71.0000633272117;10;5.87803085966201e-06;0.005504747
dragonbox;8388608*2^-67;5684342*10^-20;6.14842733964517e-09;0.015653991299073;73.0000660240327;7;6.19413663026579e-06;0.005298557
amaru;8388608*2^-66;11368684*10^-20;6.60282890921409e-09;0.00293872245261974;75.0000711601038;11;6.65725774239075e-06;0.004856629
dragonbox;8388608*2^-66;11368684*10^-20;5.92902522081905e-09;0.00276578326396909;73.0000630217196;7;5.7292472342059e-06;0.005473267
amaru;8388608*2^-65;22737368*10^-20;6.84830793931074e-09;0.00273534151650281;79.0000781524755;13;1.99580880151681e-05;0.004944743
dragonbox;8388608*2^-65;22737368*10^-20;5.96744549692826e-09;1.56665292116152e-05;73.0000624648635;7;5.8243492745773e-06;0.005443741
amaru;8388608*2^-64;45474735*10^-20;6.61837970018819e-09;0.00243418193168338;75.0000693594966;11;1.26108175593024e-05;0.005447297
dragonbox;8388608*2^-64;45474735*10^-20;5.93704799755478e-09;0.00115886023601464;73.0000620403375;7;5.88605769513753e-06;0.005435395
amaru;8388608*2^-63;9094947*10^-19;6.50461356446117e-09;0.00340245626771451;75.0000680293144;11;1.70800027328004e-05;0.005434402
dragonbox;8388608*2^-63;9094947*10^-19;6.3526383366406e-09;0.0343234660692824;73.0000728197116;7;6.61997378490381e-06;0.004705884
amaru;8388608*2^-62;18189894*10^-19;6.27205501873657e-09;0.00683114742280183;75.0000680520413;11;1.10882569814438e-05;0.005402184
dragonbox;8388608*2^-62;18189894*10^-19;5.52482870666408e-09;0.00783837070924897;73.0000591213493;7;5.37466811424395e-06;0.005380242
amaru;8388608*2^-61;3637979*10^-18;6.10104269335776e-09;0.00443577571415979;71.0000644960804;10;5.8632800361178e-06;0.00552292
dragonbox;8388608*2^-61;3637979*10^-18;6.53270191080677e-09;0.0387023996308043;73.0000659037805;7;5.99125277095441e-06;0.00567243
amaru;8388608*2^-60;7275958*10^-18;6.62999329127937e-09;0.00122190713935624;71.0000711384743;10;1.15998515219005e-05;0.005450212
dragonbox;8388608*2^-60;7275958*10^-18;6.35068246289551e-09;1.37884742602326e-05;73.0000680722556;7;1.11013665782258e-05;0.005441446
amaru;8388608*2^-59;14551915*10^-18;6.65360551405313e-09;1.77619476768894e-05;75.0000713285262;11;1.16293268364161e-05;0.005441917
dragonbox;8388608*2^-59;14551915*10^-18;6.00911467587955e-09;2.2436773761946e-05;73.0000643124415;7;5.8465855940131e-06;0.00544363
amaru;8388608*2^-58;2910383*10^-17;6.64678304405262e-09;0.0024927497522032;71.0000713322266;10;6.4847478730027e-06;0.005438631
dragonbox;8388608*2^-58;2910383*10^-17;6.35657119919639e-09;7.44852920671521e-06;73.000068328923;7;6.21172027381263e-06;0.00543761
amaru;8388608*2^-57;5820766*10^-17;6.62319414518262e-09;0.0010872921366784;71.0000709627059;10;6.45115507931695e-06;0.005435815
dragonbox;8388608*2^-57;5820766*10^-17;6.3617340739064e-09;8.45587578021644e-06;73.0000681068163;7;6.19152875036375e-06;0.005447036
amaru;8388608*2^-56;11641532*10^-17;6.71608730309354e-09;0.0102576690931841;75.0000768039324;11;1.76458132367127e-05;0.004882798
dragonbox;8388608*2^-56;11641532*10^-17;5.97617083383389e-09;0.00444277930829925;73.0000628244741;7;5.8243492745773e-06;0.005426598
amaru;8388608*2^-55;23283064*10^-17;6.57339852705078e-09;0.00307989850171462;75.000068360346;11;1.24291538232077e-05;0.005461203
dragonbox;8388608*2^-55;23283064*10^-17;5.74418345800729e-09;0.0123594402024913;73.0000604940716;7;5.63523146713251e-06;0.005387355
amaru;8388608*2^-54;4656613*10^-16;6.19117871974767e-09;0.0105608922079947;71.0000649028817;10;6.19951271830034e-06;0.005399629
dragonbox;8388608*2^-54;4656613*10^-16;6.0733021244136e-09;0.0129376808779926;73.0000608097649;7;5.62417043486086e-06;0.005692218
amaru;8388608*2^-53;9313226*10^-16;6.69383523958228e-09;0.0219820193746757;75.0000680613047;11;6.31488544797797e-06;0.005480338
dragonbox;8388608*2^-53;9313226*10^-16;6.33520767700303e-09;0.0021373803243617;73.000066200455;7;6.08661249581545e-06;0.005477774
amaru;8388608*2^-52;18626451*10^-16;6.65462799770334e-09;1.59649978419355e-05;75.0000717449012;11;1.16372438351701e-05;0.004906481
dragonbox;8388608*2^-52;18626451*10^-16;6.01151775273786e-09;0.00114667162889241;73.0000644915428;7;5.86286752850819e-06;0.005441896
amaru;8388608*2^-51;37252903*10^-16;7.00445514464657e-09;6.10360277303468e-06;82.0000749512817;14;2e-05;0.00494799
dragonbox;8388608*2^-51;37252903*10^-16;6.00856614864339e-09;1.08555120196328e-05;73.0000628743884;7;5.86365821908973e-06;0.005445423
